nationality,destination_country,visa_type,gender,age,education_level,employment_status,travel_purpose,language_proficiency,annual_income,bank_balance,travel_history_count,previous_rejections,accommodation_proof,return_ticket,invitation_letter,health_insurance,approval_status,processing_days
Pakistan,Sweden,Student,Male,75,Associate Degree,Self-Employed,Conference,Basic,27736.72,23240.27,1,0,1,1,0,1,1,31
Qatar,Spain,Work,Male,62,Bachelor's Degree,Retired,Work Assignment,Intermediate,137184.18,99071.33,4,0,1,1,1,1,1,32
Russia,South Africa,Tourist,Male,57,Bachelor's Degree,Self-Employed,Family Visit,Basic,50750.94,68706.48,2,0,1,1,1,0,0,21
Egypt,United States,Transit,Female,44,Master's Degree,Self-Employed,Permanent Residence,Intermediate,8728.26,7280.98,2,0,1,1,1,1,1,21
Morocco,South Korea,Immigrant/PR,Female,80,High School,Private Sector,Family Visit,Advanced,45087.49,115735.78,1,0,1,0,1,1,0,34
South Korea,Austria,Transit,Male,78,High School,Private Sector,Tourism,Basic,32556.98,67916.17,2,0,1,1,1,1,1,7
Ukraine,Denmark,Tourist,Female,50,Master's Degree,Government,Medical,Advanced,24406.37,3589.81,0,0,0,1,1,0,0,12
Qatar,Schengen (EU),Immigrant/PR,Female,67,Professional Degree,Private Sector,Tourism,Native,104312.69,96457.86,0,0,0,1,1,0,1,42
Japan,Denmark,Transit,Female,71,Professional Degree,Student,Business Meeting,Native,38771.29,6090.51,0,0,1,1,0,1,1,5
Pakistan,India,Student,Male,64,Associate Degree,Self-Employed,Tourism,Intermediate,281199.09,478752.5,3,0,1,1,1,1,0,29
Saudi Arabia,Malaysia,Student,Female,67,Master's Degree,Private Sector,Business Meeting,Advanced,42547.8,73713.97,6,0,1,0,1,0,1,3
United Kingdom,Singapore,Family/Spouse,Female,58,Professional Degree,Private Sector,Education,Advanced,85284.34,131019.62,0,0,1,1,1,1,0,4
Vietnam,Spain,Family/Spouse,Female,44,Bachelor's Degree,Private Sector,Medical,Advanced,28067.18,34452.62,1,0,1,1,0,1,1,16
Ukraine,India,Student,Female,53,Bachelor's Degree,Student,Education,Advanced,31009.25,57292.29,0,0,0,1,1,1,0,15
Ecuador,China,Immigrant/PR,Female,64,Associate Degree,Private Sector,Tourism,Basic,31673.68,9564.27,2,0,1,1,1,0,1,44
Bulgaria,Singapore,Tourist,Female,37,Bachelor's Degree,Private Sector,Medical,Advanced,29720.08,78527.53,2,0,1,1,0,0,1,7
Bangladesh,Singapore,Student,Female,51,Bachelor's Degree,Government,Tourism,Intermediate,24611.96,46267.84,0,0,1,1,0,1,0,16
Pakistan,United Kingdom,Immigrant/PR,Male,39,Professional Degree,Government,Medical,Intermediate,38547.66,67354.27,3,0,1,1,0,1,0,62
Tunisia,Singapore,Immigrant/PR,Female,44,Bachelor's Degree,Student,Education,Intermediate,42620.95,67721.49,0,0,1,1,1,1,0,19
Canada,South Korea,Transit,Male,73,Bachelor's Degree,Self-Employed,Conference,Native,18992.87,24920.44,4,0,1,1,1,1,1,2
Nepal,Canada,Immigrant/PR,Female,46,PhD,Student,Tourism,Advanced,15749.71,5998.26,1,0,1,1,1,1,1,69
Ethiopia,Japan,Family/Spouse,Female,63,Professional Degree,Self-Employed,Tourism,Advanced,12587.77,20316.01,1,0,1,1,0,1,1,20
South Korea,Thailand,Business,Female,61,High School,Private Sector,Work Assignment,Advanced,4112.29,4426.14,2,0,1,1,1,1,1,5
Hungary,Schengen (EU),Work,Male,51,Master's Degree,Unemployed,Tourism,Advanced,42196.47,101887.71,1,0,0,1,1,1,1,18
South Korea,New Zealand,Student,Female,55,Bachelor's Degree,Retired,Family Visit,Advanced,37088.77,101844.78,0,0,1,1,1,0,1,21
India,China,Immigrant/PR,Female,48,PhD,Private Sector,Family Visit,None,7917.7,2042.05,1,0,1,0,1,1,1,43
Afghanistan,India,Student,Male,54,Associate Degree,Private Sector,Tourism,Basic,12904.22,11571.45,7,0,0,1,0,1,1,26
Australia,South Africa,Work,Male,54,PhD,Student,Business Meeting,Native,22773.62,14799.1,2,0,1,1,0,1,1,25
Qatar,Canada,Student,Male,62,Bachelor's Degree,Private Sector,Work Assignment,Advanced,12319.82,19878.78,0,0,0,0,0,1,1,28
Germany,Italy,Business,Female,45,High School,Student,Medical,Advanced,26621.64,78757.63,0,0,1,1,1,1,1,19
Indonesia,United States,Business,Female,54,PhD,Private Sector,Work Assignment,Intermediate,11015.44,25919.6,0,0,0,1,0,0,0,27
Bulgaria,France,Family/Spouse,Female,78,Master's Degree,Self-Employed,Tourism,Basic,29889.71,74536.85,1,0,1,0,1,1,1,18
Afghanistan,Italy,Business,Male,73,Bachelor's Degree,Self-Employed,Work Assignment,Native,22599.43,16159.93,0,0,1,1,0,1,0,36
Sri Lanka,Schengen (EU),Transit,Female,66,Bachelor's Degree,Private Sector,Medical,Basic,20878.73,13490.0,1,0,0,1,1,0,0,15
Vietnam,South Africa,Family/Spouse,Female,36,Bachelor's Degree,Government,Tourism,Intermediate,9532.41,23920.81,0,0,0,1,1,0,1,13
Thailand,China,Tourist,Male,67,High School,Private Sector,Education,Intermediate,35949.75,87846.11,1,0,1,0,1,1,1,17
Tunisia,Norway,Family/Spouse,Female,69,No Formal Education,Student,Medical,None,347711.18,303319.4,8,1,1,0,1,1,1,24
UAE,France,Work,Other,48,High School,Government,Education,Advanced,11983.77,31754.78,0,0,1,1,1,1,0,28
Morocco,China,Work,Male,72,Bachelor's Degree,Self-Employed,Conference,Advanced,15740.29,39935.94,6,0,0,1,0,1,0,30
UAE,Portugal,Student,Male,71,Bachelor's Degree,Student,Business Meeting,Advanced,28903.9,79357.31,1,0,1,1,1,0,1,19
Bangladesh,India,Work,Female,52,High School,Private Sector,Conference,Native,31520.69,38012.28,0,0,1,1,1,1,0,20
Mexico,New Zealand,Student,Male,66,Master's Degree,Self-Employed,Permanent Residence,Intermediate,22552.66,13240.65,4,0,1,1,1,1,0,33
Malaysia,Austria,Work,Male,60,High School,Student,Medical,Intermediate,2265.92,3552.73,8,0,1,1,1,1,0,29
Poland,Singapore,Work,Female,76,Associate Degree,Self-Employed,Tourism,Intermediate,38913.17,82869.52,5,0,1,0,0,1,1,8
Nigeria,South Korea,Business,Female,69,Associate Degree,Private Sector,Family Visit,Intermediate,85202.08,234367.02,2,0,1,0,1,0,1,18
Thailand,Turkey,Tourist,Female,64,Bachelor's Degree,Self-Employed,Business Meeting,Native,19032.38,42814.34,0,0,1,1,1,1,1,4
Colombia,Netherlands,Transit,Male,54,Master's Degree,Private Sector,Permanent Residence,Intermediate,41529.65,55890.49,0,0,1,1,1,1,1,9
Qatar,Germany,Business,Female,63,High School,Retired,Tourism,Basic,13370.71,24253.26,0,0,1,1,1,1,1,14
Afghanistan,China,Transit,Female,47,Master's Degree,Unemployed,Permanent Residence,Intermediate,10148.32,23139.87,0,0,1,1,1,1,0,18
Argentina,Austria,Family/Spouse,Female,47,Master's Degree,Private Sector,Tourism,Advanced,40316.78,23388.47,1,0,1,0,1,0,1,12
Russia,UAE,Family/Spouse,Male,51,Bachelor's Degree,Private Sector,Family Visit,Basic,42784.87,80485.87,2,0,1,1,0,0,1,12
Indonesia,Germany,Transit,Male,59,High School,Student,Work Assignment,Intermediate,43822.31,126854.16,5,1,1,1,1,1,0,12
Argentina,Sweden,Work,Female,76,Bachelor's Degree,Student,Business Meeting,Native,28020.45,44042.59,2,0,1,1,0,1,1,25
Ukraine,South Korea,Tourist,Male,70,Bachelor's Degree,Government,Work Assignment,Intermediate,22785.4,37236.04,13,0,1,1,1,1,1,10
United Kingdom,Portugal,Business,Male,70,High School,Government,Conference,Intermediate,21480.4,26882.53,1,0,0,1,1,0,0,12
France,Malaysia,Business,Female,48,Bachelor's Degree,Student,Permanent Residence,Basic,6340.61,9240.38,5,0,1,1,1,1,1,2
Malaysia,Malaysia,Work,Male,69,Master's Degree,Self-Employed,Medical,Basic,12849.05,26435.9,2,0,1,1,0,1,1,5
Hungary,New Zealand,Family/Spouse,Male,60,High School,Unemployed,Conference,Advanced,320464.84,912620.06,1,0,1,1,0,0,1,18
Algeria,Canada,Transit,Female,79,Bachelor's Degree,Unemployed,Work Assignment,Native,11895.92,9336.9,0,0,1,1,0,1,1,20
Australia,Singapore,Tourist,Male,76,No Formal Education,Government,Business Meeting,Basic,307820.08,536656.5,2,0,1,1,0,1,1,5
Canada,Portugal,Transit,Female,75,Master's Degree,Private Sector,Conference,Intermediate,48737.6,134135.53,1,0,1,1,1,1,1,6
Colombia,Taiwan,Business,Female,61,Professional Degree,Self-Employed,Medical,Intermediate,79645.73,36840.31,1,0,1,1,1,1,0,9
Bulgaria,Sweden,Business,Male,65,Bachelor's Degree,Private Sector,Work Assignment,Advanced,53666.1,90137.9,10,0,1,1,1,1,0,10
United Kingdom,Australia,Business,Male,80,Bachelor's Degree,Private Sector,Business Meeting,Basic,23953.66,9645.07,1,0,1,1,0,0,1,26
India,Turkey,Work,Male,60,Master's Degree,Retired,Permanent Residence,Advanced,9082.65,16664.48,0,0,0,1,0,0,1,11
Bulgaria,South Africa,Tourist,Male,69,High School,Government,Family Visit,Advanced,16568.14,26986.52,11,0,1,1,0,1,1,6
Senegal,Denmark,Immigrant/PR,Female,74,Bachelor's Degree,Private Sector,Tourism,Advanced,26164.05,8302.07,1,1,1,1,0,0,1,41
Tunisia,Belgium,Tourist,Female,45,Bachelor's Degree,Private Sector,Permanent Residence,Native,22048.84,64001.01,1,0,1,1,0,1,1,16
Malaysia,Schengen (EU),Business,Female,71,Bachelor's Degree,Unemployed,Tourism,Intermediate,181646.83,109588.37,1,0,1,1,1,1,1,16
Venezuela,China,Student,Male,71,Professional Degree,Student,Conference,Intermediate,25555.95,9748.01,1,0,1,1,0,1,0,40
Kenya,Thailand,Family/Spouse,Male,46,Bachelor's Degree,Self-Employed,Permanent Residence,Advanced,49489.45,86841.44,6,0,0,1,0,1,0,14
Egypt,Turkey,Immigrant/PR,Female,59,High School,Self-Employed,Education,None,18224.91,46018.71,3,0,0,1,1,1,1,15
Afghanistan,South Korea,Family/Spouse,Male,52,Bachelor's Degree,Self-Employed,Business Meeting,Advanced,14050.0,6272.69,0,0,0,1,1,1,1,17
UAE,New Zealand,Business,Male,53,Bachelor's Degree,Self-Employed,Conference,Advanced,193394.94,145040.63,4,0,1,1,1,1,1,18
Kenya,France,Student,Male,63,Master's Degree,Government,Conference,Basic,10981.1,27485.19,1,0,0,1,1,1,1,26
Iran,Denmark,Tourist,Female,46,Bachelor's Degree,Private Sector,Work Assignment,Basic,25396.16,73327.47,3,0,1,1,1,1,1,15
South Korea,India,Work,Female,72,Bachelor's Degree,Student,Conference,Native,10532.82,2188.45,0,0,1,1,0,1,1,12
Algeria,Netherlands,Work,Female,56,Bachelor's Degree,Private Sector,Tourism,Intermediate,22596.09,48304.85,0,0,1,0,0,1,0,30
Canada,Sweden,Work,Other,57,Professional Degree,Self-Employed,Family Visit,Basic,21212.49,12935.01,6,0,1,1,1,1,0,15
Thailand,South Africa,Business,Female,72,Bachelor's Degree,Private Sector,Conference,Intermediate,14442.94,29248.76,4,0,1,1,0,1,0,13
Romania,Switzerland,Tourist,Male,73,Bachelor's Degree,Government,Tourism,Intermediate,15955.32,13966.34,3,0,1,1,0,1,1,13
Venezuela,Portugal,Work,Female,74,Bachelor's Degree,Private Sector,Medical,Basic,68934.39,125173.92,0,0,0,0,1,0,1,31
Nigeria,China,Tourist,Female,51,Bachelor's Degree,Private Sector,Education,Intermediate,8299.94,1510.42,1,0,0,1,0,1,0,17
India,UAE,Immigrant/PR,Female,69,Bachelor's Degree,Government,Tourism,Intermediate,6869.59,17353.44,2,0,1,1,0,1,0,19
Ecuador,India,Student,Male,53,Bachelor's Degree,Student,Medical,Intermediate,13719.2,14251.96,3,0,1,0,0,1,1,13
Australia,Schengen (EU),Tourist,Male,70,Associate Degree,Private Sector,Education,Advanced,10641.34,4315.84,2,0,0,0,1,1,1,13
Nepal,Italy,Immigrant/PR,Female,80,High School,Government,Tourism,Intermediate,36151.22,35726.38,0,0,1,1,1,1,0,60
Kenya,Switzerland,Work,Female,76,Bachelor's Degree,Government,Tourism,Basic,59439.9,132103.42,2,0,1,1,0,1,1,38
Thailand,South Africa,Business,Female,73,Bachelor's Degree,Self-Employed,Business Meeting,Intermediate,8828.88,15815.9,0,0,1,1,1,1,1,15
Tunisia,Sweden,Immigrant/PR,Male,36,Master's Degree,Retired,Conference,Basic,27446.24,54838.81,3,0,1,1,1,0,1,27
Iran,South Korea,Business,Female,44,High School,Government,Conference,Advanced,28275.26,15807.4,1,0,1,0,0,1,1,24
Egypt,Norway,Family/Spouse,Male,70,Bachelor's Degree,Private Sector,Conference,None,76645.18,200429.4,0,0,0,1,1,0,0,19
Venezuela,Taiwan,Student,Female,71,Associate Degree,Student,Conference,Basic,103992.3,68652.22,3,0,1,1,1,0,0,21
Venezuela,Germany,Student,Female,75,Bachelor's Degree,Private Sector,Conference,Advanced,21030.11,32340.29,1,0,1,1,0,1,1,30
Tunisia,United States,Immigrant/PR,Male,46,Bachelor's Degree,Private Sector,Family Visit,Native,27269.76,42586.61,0,0,1,1,1,0,0,69
Thailand,France,Work,Female,60,PhD,Private Sector,Business Meeting,Intermediate,8789.78,12424.15,0,0,1,1,1,1,0,24
Canada,Germany,Work,Female,76,Bachelor's Degree,Self-Employed,Permanent Residence,Advanced,113382.61,90538.79,0,0,1,1,1,1,1,26
UAE,Sweden,Tourist,Male,40,Master's Degree,Private Sector,Tourism,Advanced,9411.74,3911.37,2,0,1,1,0,0,1,12
Afghanistan,South Korea,Family/Spouse,Male,30,Master's Degree,Private Sector,Tourism,Advanced,34369.29,78527.27,9,0,1,1,1,1,1,21
Syria,Denmark,Family/Spouse,Female,65,Bachelor's Degree,Private Sector,Family Visit,Intermediate,40545.25,70617.45,2,0,1,1,1,0,1,34
Mexico,Singapore,Work,Female,57,Professional Degree,Private Sector,Business Meeting,Native,57234.52,38272.24,0,0,1,1,1,1,1,12
Egypt,Singapore,Immigrant/PR,Other,54,Bachelor's Degree,Unemployed,Education,Native,15811.1,19842.07,7,0,1,1,1,1,1,17
Ukraine,Denmark,Student,Male,68,Bachelor's Degree,Student,Conference,Intermediate,35928.93,17539.59,7,0,1,1,1,1,1,21
Romania,Germany,Transit,Female,74,Bachelor's Degree,Government,Medical,Intermediate,45693.4,76351.62,0,0,1,1,1,1,1,10
Argentina,Germany,Student,Female,61,Bachelor's Degree,Government,Business Meeting,None,17770.33,3883.89,1,0,1,1,1,1,1,17
Mexico,Japan,Tourist,Male,69,Bachelor's Degree,Student,Family Visit,Intermediate,71284.63,98145.69,3,0,0,1,0,1,1,8
Russia,Singapore,Family/Spouse,Male,50,Bachelor's Degree,Student,Family Visit,Native,87484.16,63446.67,0,0,1,1,0,0,0,13
Malaysia,South Africa,Immigrant/PR,Female,79,Bachelor's Degree,Private Sector,Business Meeting,Advanced,15682.46,12987.01,0,0,1,1,1,0,0,31
Mexico,Portugal,Family/Spouse,Female,70,High School,Self-Employed,Work Assignment,Intermediate,29881.96,13536.34,0,0,0,1,1,0,0,21
Sri Lanka,Netherlands,Immigrant/PR,Female,47,High School,Unemployed,Education,Intermediate,69317.9,70196.34,2,0,1,1,0,1,1,43
Australia,China,Work,Male,51,High School,Self-Employed,Medical,Basic,54834.27,48744.63,2,0,0,1,0,0,0,20
Egypt,Netherlands,Transit,Female,54,Bachelor's Degree,Government,Tourism,None,143925.54,288367.73,0,0,1,0,1,1,1,17
Senegal,Switzerland,Work,Male,57,PhD,Unemployed,Medical,Native,22075.66,15050.16,4,0,1,1,1,1,0,44
Germany,New Zealand,Work,Male,49,High School,Private Sector,Work Assignment,Intermediate,29895.73,87957.38,2,0,1,0,1,0,1,21
Argentina,Austria,Work,Male,55,High School,Government,Family Visit,Advanced,92020.3,200366.72,0,0,1,0,1,0,1,25
Brazil,South Africa,Transit,Male,53,PhD,Student,Work Assignment,Native,62153.38,79661.17,2,0,0,1,1,0,0,7
Brazil,Italy,Family/Spouse,Male,58,Master's Degree,Retired,Medical,Intermediate,12592.74,2206.47,0,0,1,1,1,1,1,24
Philippines,Portugal,Work,Female,71,Master's Degree,Self-Employed,Business Meeting,Basic,572735.54,900210.92,6,0,1,1,1,0,1,34
Nepal,Portugal,Business,Male,71,Bachelor's Degree,Unemployed,Education,Intermediate,12306.88,1691.87,2,0,1,1,1,1,0,14
Russia,Turkey,Immigrant/PR,Male,42,High School,Unemployed,Family Visit,Intermediate,23907.31,53007.28,1,0,1,1,0,0,0,12
Vietnam,Denmark,Tourist,Female,55,Bachelor's Degree,Self-Employed,Medical,Advanced,102310.91,51453.22,0,0,1,1,1,1,1,13
Senegal,Austria,Family/Spouse,Male,54,Master's Degree,Retired,Medical,Advanced,29597.99,82533.48,0,0,1,1,1,1,1,22
Thailand,New Zealand,Student,Male,69,Bachelor's Degree,Government,Education,Native,6676.82,13745.59,0,0,0,1,1,1,1,31
Thailand,Spain,Work,Male,63,Associate Degree,Private Sector,Tourism,Intermediate,29314.75,63915.36,2,0,1,0,1,1,0,39
Yemen,Sweden,Transit,Male,56,Master's Degree,Private Sector,Business Meeting,Advanced,47144.89,73585.57,0,0,1,1,0,0,0,24
Argentina,Malaysia,Family/Spouse,Male,66,Master's Degree,Retired,Education,Advanced,8622.99,18327.3,5,0,1,1,1,1,0,4
Myanmar,Italy,Business,Male,58,PhD,Unemployed,Tourism,Basic,90847.85,92475.47,2,1,1,1,1,1,1,29
Brazil,Ireland,Transit,Female,54,Bachelor's Degree,Student,Family Visit,Intermediate,97234.62,155226.8,8,0,1,1,1,1,0,6
Japan,Germany,Student,Female,56,High School,Self-Employed,Work Assignment,Intermediate,33727.23,66563.91,2,0,1,1,1,0,1,22
Tunisia,New Zealand,Immigrant/PR,Female,39,Master's Degree,Student,Permanent Residence,None,31084.74,82629.99,2,0,1,1,1,1,1,46
India,South Africa,Family/Spouse,Female,75,Master's Degree,Retired,Tourism,Basic,49801.55,79884.57,0,0,1,1,1,1,1,18
Nigeria,Portugal,Student,Other,45,High School,Private Sector,Tourism,Intermediate,54825.4,25222.63,2,0,1,1,1,0,1,22
Australia,UAE,Student,Male,71,Professional Degree,Government,Business Meeting,Advanced,30456.85,12555.3,8,0,0,1,0,0,0,4
Pakistan,Australia,Student,Female,47,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,29428.98,69189.7,1,0,1,1,1,1,0,50
Nigeria,Denmark,Tourist,Male,44,PhD,Student,Education,Intermediate,8849.26,17959.51,5,0,1,1,1,1,0,13
Peru,Malaysia,Family/Spouse,Female,77,High School,Student,Medical,Basic,25307.54,6849.52,0,0,0,1,1,1,1,8
Nigeria,Switzerland,Work,Female,44,Associate Degree,Government,Tourism,Native,5589.97,10333.5,6,0,1,0,1,0,0,25
Bulgaria,Germany,Work,Female,56,Bachelor's Degree,Student,Family Visit,Native,36845.28,64862.18,3,0,1,0,1,0,1,22
Russia,France,Work,Female,60,High School,Student,Family Visit,Advanced,48207.25,75901.56,2,1,1,0,1,1,1,34
Russia,Portugal,Immigrant/PR,Male,37,Bachelor's Degree,Private Sector,Conference,Basic,14386.68,33378.46,5,0,0,1,1,1,1,44
Vietnam,France,Tourist,Male,45,Bachelor's Degree,Private Sector,Work Assignment,Intermediate,133842.03,368371.12,4,0,1,1,1,0,1,15
Brazil,Switzerland,Student,Female,59,Associate Degree,Student,Work Assignment,Basic,17412.57,11249.67,9,0,1,1,1,1,0,25
Japan,Taiwan,Family/Spouse,Male,61,No Formal Education,Private Sector,Medical,Native,55532.65,157561.78,2,0,1,1,0,0,0,12
South Korea,Netherlands,Transit,Male,68,Bachelor's Degree,Student,Family Visit,Advanced,4864.89,6713.55,5,0,1,1,1,1,1,5
Colombia,South Africa,Immigrant/PR,Female,46,Bachelor's Degree,Retired,Permanent Residence,Advanced,39428.64,88729.18,0,0,1,1,1,1,1,43
Malaysia,Switzerland,Tourist,Male,54,Bachelor's Degree,Government,Business Meeting,Advanced,33259.43,9992.87,0,0,1,1,1,1,1,13
Bangladesh,UAE,Work,Male,38,Associate Degree,Self-Employed,Permanent Residence,Intermediate,8030.87,19549.82,3,0,1,1,1,1,0,22
Algeria,Thailand,Business,Female,67,Bachelor's Degree,Retired,Medical,Advanced,38023.75,38694.25,1,0,1,1,0,1,0,11
Hungary,France,Family/Spouse,Female,78,Bachelor's Degree,Self-Employed,Business Meeting,Basic,7097.17,15781.23,0,0,1,1,0,1,0,16
Romania,Australia,Family/Spouse,Female,68,Bachelor's Degree,Self-Employed,Tourism,Advanced,32949.11,46639.42,1,0,1,1,1,1,1,24
Colombia,South Africa,Tourist,Male,70,Master's Degree,Self-Employed,Business Meeting,Basic,1996.45,3660.93,0,0,1,1,1,0,1,19
Nepal,Japan,Family/Spouse,Male,52,Master's Degree,Self-Employed,Family Visit,Intermediate,14678.97,38306.24,3,0,1,1,0,1,1,16
Venezuela,United States,Family/Spouse,Male,60,Professional Degree,Private Sector,Business Meeting,Advanced,38556.28,37927.35,0,0,1,1,0,1,0,31
France,Switzerland,Student,Male,65,No Formal Education,Unemployed,Medical,Intermediate,13981.36,1505.16,0,0,1,1,1,0,1,32
Bulgaria,South Africa,Student,Male,44,No Formal Education,Government,Family Visit,Intermediate,8665.2,18843.81,3,0,1,1,1,1,1,23
Russia,Switzerland,Transit,Male,68,Associate Degree,Unemployed,Work Assignment,Intermediate,8570.47,8324.53,0,0,0,1,1,1,1,11
Saudi Arabia,India,Tourist,Female,66,Bachelor's Degree,Self-Employed,Tourism,Intermediate,79460.61,215594.36,4,0,0,0,1,1,1,6
Senegal,Germany,Transit,Male,65,Master's Degree,Self-Employed,Family Visit,Intermediate,13462.39,33747.91,2,0,0,1,1,1,1,14
Australia,UAE,Tourist,Male,51,Master's Degree,Unemployed,Medical,Advanced,12447.64,2761.69,0,0,1,0,1,1,1,6
Qatar,Belgium,Transit,Female,60,No Formal Education,Retired,Work Assignment,Basic,17870.91,40099.9,1,0,1,1,1,1,1,9
United Kingdom,Portugal,Immigrant/PR,Female,62,Bachelor's Degree,Self-Employed,Work Assignment,Advanced,3942.68,3238.18,3,0,1,1,0,1,0,34
Hungary,Turkey,Tourist,Female,71,PhD,Private Sector,Work Assignment,Intermediate,13307.93,33321.73,4,0,1,1,1,1,1,1
Colombia,South Africa,Student,Male,41,Bachelor's Degree,Unemployed,Medical,Advanced,19879.81,24437.85,1,0,1,0,1,1,1,21
Algeria,Germany,Work,Female,60,High School,Private Sector,Conference,Intermediate,65076.72,116554.89,3,0,1,1,1,1,1,29
Japan,Singapore,Transit,Female,54,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,9154.25,7278.86,2,0,1,1,1,1,0,3
South Korea,India,Transit,Female,62,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,67104.38,80454.69,3,0,1,0,0,0,1,6
United Kingdom,Belgium,Business,Female,61,Bachelor's Degree,Private Sector,Family Visit,Advanced,32673.75,66269.54,0,0,1,1,1,1,1,12
United States,Canada,Work,Male,69,PhD,Private Sector,Work Assignment,Intermediate,12599.39,2654.28,1,0,1,0,0,1,0,31
Indonesia,China,Transit,Female,57,High School,Private Sector,Education,Advanced,18953.71,22302.69,2,0,0,1,1,1,1,14
Sri Lanka,Austria,Tourist,Male,26,Bachelor's Degree,Private Sector,Education,Advanced,7547.9,20475.61,1,0,1,1,0,1,0,16
Nepal,UAE,Student,Other,62,Bachelor's Degree,Private Sector,Tourism,Native,142290.68,333858.52,1,0,1,1,1,1,1,13
Bangladesh,Singapore,Family/Spouse,Male,74,Professional Degree,Retired,Conference,None,11839.94,25075.54,5,0,1,1,1,1,0,12
Ethiopia,Turkey,Business,Female,72,High School,Private Sector,Medical,Native,13048.3,33341.54,3,0,1,1,1,0,1,16
Saudi Arabia,Singapore,Business,Female,80,Bachelor's Degree,Self-Employed,Medical,Intermediate,5194.59,11232.51,6,0,1,1,1,1,0,5
Ethiopia,Taiwan,Immigrant/PR,Male,51,Master's Degree,Retired,Family Visit,Advanced,8939.24,13906.17,2,0,1,1,1,1,1,23
India,Netherlands,Student,Male,74,Bachelor's Degree,Private Sector,Conference,Native,10926.78,7426.26,2,0,0,0,0,0,0,22
Tunisia,Denmark,Transit,Female,40,Master's Degree,Private Sector,Conference,Native,13485.51,15230.09,0,0,1,1,1,1,1,15
Bulgaria,Austria,Work,Male,37,High School,Student,Medical,Advanced,9211.9,18934.37,0,0,1,1,0,1,0,24
Russia,South Africa,Business,Male,36,Bachelor's Degree,Student,Tourism,None,65320.58,38215.47,1,0,1,1,1,1,0,21
South Korea,UAE,Student,Female,54,High School,Private Sector,Work Assignment,Basic,41710.75,57152.77,2,0,1,1,1,0,1,14
Argentina,Canada,Business,Male,40,Bachelor's Degree,Self-Employed,Permanent Residence,Basic,37034.49,62447.24,2,0,1,1,0,0,0,17
Germany,South Africa,Immigrant/PR,Male,73,Master's Degree,Private Sector,Conference,Native,22922.64,40488.55,1,0,1,1,1,0,0,19
United Kingdom,UAE,Student,Female,42,High School,Student,Work Assignment,Basic,209137.44,213901.31,1,0,1,1,1,1,1,8
Nepal,France,Student,Female,49,High School,Self-Employed,Tourism,Native,22186.94,41410.88,1,0,1,1,1,1,1,28
Kenya,Norway,Business,Female,64,Master's Degree,Self-Employed,Tourism,Advanced,70642.18,123807.2,10,0,1,1,0,1,0,16
Argentina,Sweden,Business,Female,52,Bachelor's Degree,Private Sector,Tourism,Advanced,14679.66,21283.65,0,0,1,1,1,1,1,16
Kenya,United Kingdom,Work,Male,30,Master's Degree,Private Sector,Education,None,101559.63,224033.33,0,0,1,1,0,1,1,49
Germany,Canada,Student,Female,70,PhD,Government,Business Meeting,Intermediate,88577.74,130572.39,2,0,1,0,1,1,1,23
Afghanistan,Sweden,Family/Spouse,Male,63,Professional Degree,Unemployed,Medical,Basic,15265.94,16435.77,3,0,1,1,0,1,1,17
India,South Africa,Transit,Male,59,Professional Degree,Unemployed,Education,Advanced,9854.09,11951.95,3,0,1,1,1,0,1,13
Bulgaria,Netherlands,Family/Spouse,Female,55,Bachelor's Degree,Private Sector,Family Visit,Intermediate,27015.64,10253.45,1,0,1,0,1,1,1,18
Tunisia,South Korea,Tourist,Male,58,Bachelor's Degree,Unemployed,Permanent Residence,Native,9987.42,23872.46,5,0,0,1,1,0,0,16
Hungary,South Africa,Work,Male,58,Bachelor's Degree,Private Sector,Work Assignment,Advanced,25521.46,9838.6,0,0,0,1,1,1,1,17
Sri Lanka,Taiwan,Tourist,Male,68,Bachelor's Degree,Private Sector,Medical,Intermediate,10937.93,18598.21,0,0,1,1,1,1,0,11
Romania,Canada,Business,Female,64,No Formal Education,Government,Family Visit,Intermediate,66522.81,173657.83,0,0,1,1,1,1,1,16
Kenya,France,Business,Female,80,Bachelor's Degree,Student,Work Assignment,Native,11345.62,3775.3,0,0,0,1,1,1,0,23
Pakistan,India,Family/Spouse,Female,67,Associate Degree,Self-Employed,Business Meeting,Intermediate,48511.51,12317.83,6,0,0,1,0,1,1,18
Ethiopia,Schengen (EU),Work,Male,59,Bachelor's Degree,Private Sector,Medical,Advanced,47058.75,89375.8,2,0,0,0,0,1,0,39
Morocco,India,Student,Male,41,Master's Degree,Private Sector,Family Visit,Advanced,23465.59,7772.09,2,0,0,1,1,1,1,19
Nigeria,Canada,Student,Female,58,Bachelor's Degree,Private Sector,Conference,Native,18652.06,19054.5,4,0,1,1,1,1,1,37
Yemen,New Zealand,Family/Spouse,Male,76,Associate Degree,Self-Employed,Education,Intermediate,17354.89,30135.19,0,0,1,1,1,1,1,40
Tunisia,Taiwan,Student,Female,79,High School,Self-Employed,Education,Basic,6699.17,16190.44,2,0,1,1,1,1,1,18
Colombia,France,Family/Spouse,Male,64,Master's Degree,Private Sector,Conference,Advanced,38904.09,11919.43,1,0,1,1,0,0,0,29
